Text,KM,Ano,Valor
HONDA CRV 2.0 EXL 4X4 16V GASOLINA 4P AUTOMÁTICO,KM 124935,2012/2012,"R$ 79.900,00"
CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL,KM 61913,2018/2019,"R$ 57.900,00"
FIAT PALIO 1.6 MPI SPORTING 16V FLEX 4P MANUAL,KM 70299,2015/2015,"R$ 51.900,00"
CHEVROLET ONIX 1.0 MPFI LT 8V FLEX 4P MANUAL,KM 70601,2018/2018,"R$ 59.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 44621,2020/2021,"R$ 127.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 21037,2021/2021,"R$ 91.900,00"
FIAT ARGO 1.0 FIREFLY FLEX MANUAL,KM 77854,2018/2019,"R$ 59.900,00"
VOLKSWAGEN CROSS UP 1.0 TSI 12V FLEX 4P MANUAL,KM 61398,2017/2018,"R$ 73.900,00"
FORD KA 1.0 TI-VCT FLEX SE MANUAL,KM 40440,2019/2020,"R$ 62.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 21148,2021/2021,"R$ 91.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX XTREME 4P MANUAL,KM 37935,2020/2021,"R$ 76.900,00"
HONDA HR-V 1.8 16V FLEX EX 4P AUTOMÁTICO,KM 16013,2019/2020,"R$ 122.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 89685,2019/2020,"R$ 89.900,00"
CHEVROLET ONIX 1.0 MPFI LT 8V FLEX 4P MANUAL,KM 71985,2019/2019,"R$ 62.900,00"
VOLKSWAGEN VOYAGE 1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO,KM 33120,2021/2022,"R$ 82.900,00"
FIAT FIORINO 1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL,KM 72311,2019/2020,"R$ 79.900,00"
VOLKSWAGEN SAVEIRO 1.6 MSI ROBUST CS 8V FLEX 2P MANUAL,KM 118000,2019/2020,"R$ 69.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 31920,2020/2021,"R$ 128.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 53827,2020/2021,"R$ 128.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 17824,2020/2021,"R$ 128.900,00"
VOLKSWAGEN SAVEIRO 1.6 MSI ROBUST CS 8V FLEX 2P MANUAL,KM 14818,2021/2022,"R$ 85.900,00"
CHEVROLET CRUZE 1.4 TURBO FLEX SPORT6 PREMIER AUTOMÁTICO,KM 29928,2020/2020,"R$ 129.900,00"
FORD KA 1.0 TI-VCT FLEX SE PLUS MANUAL,KM 70545,2019/2020,"R$ 59.900,00"
JEEP COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO,KM 68865,2017/2018,"R$ 117.900,00"
CITROEN AIRCROSS 1.6 TENDANCE 16V FLEX 4P MANUAL,KM 100913,2015/2015,"R$ 51.900,00"
CHEVROLET PRISMA 1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,KM 81234,2018/2019,"R$ 73.900,00"
VOLKSWAGEN FOX 1.6 MI HIGHLINE 8V FLEX 4P MANUAL,KM 123894,2015/2015,"R$ 53.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 42879,2019/2020,"R$ 89.900,00"
HONDA WR-V 1.5 16V FLEXONE EXL CVT,KM 52286,2017/2018,"R$ 90.900,00"
NISSAN VERSA 1.0 12V FLEX V-DRIVE MANUAL,KM 29254,2021/2021,"R$ 63.900,00"
VOLKSWAGEN POLO 1.6 MSI TOTAL FLEX MANUAL,KM 82047,2018/2019,"R$ 70.900,00"
FIAT PULSE 1.3 FLEX DRIVE MANUAL,KM 1922,2022/2022,"R$ 96.900,00"
HONDA HR-V 1.8 16V FLEX LX 4P MANUAL,KM 29560,2018/2018,"R$ 96.900,00"
VOLKSWAGEN SAVEIRO 1.6 MSI TRENDLINE CS 8V FLEX 2P MANUAL,KM 64438,2020/2021,"R$ 79.900,00"
CHEVROLET MONTANA 1.4 MPFI LS CS 8V FLEX 2P MANUAL,KM 51278,2019/2020,"R$ 64.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,KM 53368,2019/2020,"R$ 67.900,00"
CHEVROLET ONIX 1.0 FLEX PLUS LT MANUAL,KM 35390,2021/2022,"R$ 80.900,00"
PEUGEOT 2008 1.6 16V FLEX CROSSWAY 4P AUTOMÁTICO,KM 62166,2018/2019,"R$ 79.900,00"
FORD KA 1.0 TI-VCT FLEX SE MANUAL,KM 47864,2019/2020,"R$ 56.900,00"
JEEP COMPASS 2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO,KM 68611,2019/2020,"R$ 164.900,00"
VOLKSWAGEN VIRTUS 1.6 MSI TOTAL FLEX AUTOMÁTICO,KM 87939,2019/2020,"R$ 79.900,00"
VOLKSWAGEN POLO 1.0 MPI TOTAL FLEX MANUAL,KM 67076,2019/2020,"R$ 67.900,00"
VOLKSWAGEN GOLF 1.6 MSI COMFORTLINE 16V TOTAL FLEX 4P MANUAL,KM 99242,2015/2016,"R$ 77.900,00"
FIAT TORO 2.0 16V TURBO DIESEL ULTRA 4WD AT9,KM 22492,2021/2021,"R$ 175.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 46568,2020/2021,"R$ 128.900,00"
VOLKSWAGEN TAOS 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 26588,2021/2022,"R$ 185.900,00"
HYUNDAI HB20S 1.0 TGDI FLEX PLATINUM AUTOMÁTICO,KM 10191,2021/2022,"R$ 92.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 30327,2020/2021,"R$ 128.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 60100,2020/2021,"R$ 62.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 26500,2021/2022,"R$ 106.900,00"
